ID,INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,SPECIES_ID,SPECIES_GROUP,SPECIES,DAMAGE,INCIDENT_YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE_OF_FLT,BIRDS_STRUCK,SIZE
794,10/24/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Night,2135,7000,240,Approach,1,Small
795,10/22/11 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,BUS,BUSINESS,NE106,Bird,Glaucous-winged gull,N,2011,Day,1000,0,90,Take-off run,1,Medium
796,10/20/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UAL,UNITED AIRLINES,ZX303,Bird,Savannah sparrow,N,2011,Day,1220,0,0,Landing Roll,1,Small
797,10/15/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,Z6007,Bird,American robin,N,2011,Day,1751,0,0,Approach,1,Small
798,10/13/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SWA,SOUTHWEST AIRLINES,ZX310,Bird,Grasshopper sparrow,N,2011,Night,2245,4500,210,Approach,10-Feb,Small
799,10/11/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Day,1730,0,0,Descent,1,Small
800,10/9/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,FFT,FRONTIER AIRLINES,UNKB,Bird,Unknown bird,N,2011,Night,1945,0,0,Approach,1,
801,10/8/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,ZX004,Bird,Dark-eyed junco,N,2011,Night,100,0,0,Approach,1,Small
802,10/7/11 0:00,WA,KBLI,BELLINGHAM INTL,AAY,ALLEGIANT AIR,UNKB,Bird,Unknown bird,N,2011,Night,2045,4000,250,Approach,1,
803,10/7/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,N5111,Bird,Killdeer,,2011,,,0,0,,1,Small
804,10/6/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,Z6014,Bird,Hermit thrush,,2011,Night,540,600,0,Approach,1,Small
805,10/6/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,UNKBS,Bird,Unknown bird - small,,2011,Night,609,0,0,Climb,1,Small
806,10/6/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,FFT,FRONTIER AIRLINES,ZS014,Bird,Yellow warbler,N,2011,Night,2030,0,0,Approach,1,Small
807,10/3/11 0:00,WA,KGEG,SPOKANE INTERNATIONAL,SWA,SOUTHWEST AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Night,2215,2300,200,Approach,1,Small
808,9/29/11 0:00,WA,KGEG,SPOKANE INTERNATIONAL,QXE,HORIZON AIR,K3302,Bird,Red-tailed hawk,,2011,Day,1035,0,0,Take-off run,1,Medium
809,9/28/11 0:00,WA,KEAT,PANGBORN MEMORIAL,QXE,HORIZON AIR,YH004,Bird,Horned lark,,2011,Day,1100,0,0,Take-off run,10-Feb,Small
810,9/26/11 0:00,WA,KBLI,BELLINGHAM INTL,UNK,UNKNOWN,YL001,Bird,European starling,,2011,,,0,0,,1,Small
